finding_id,investigation_id,severity,category,description,confidence_score,status,created_at,validated_at
FND-000020,INV-00076,MEDIUM,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $109,467 was approved at L2 without L3 countersignature.",0.646,RESOLVED,2023-08-29,2023-08-31
FND-000021,INV-00401,HIGH,MISSING_RECEIPT,Expense claim EXP-153785 submitted for Marketing without an attached supporting receipt.,0.648,RESOLVED,2022-10-20,2022-11-16
FND-000022,INV-00039,CRITICAL,POLICY_BREACH,"Claim EXP-195634 violates Policy POL-0015 section 4.2: Travel expenditure capped at $500,000 per event.",0.824,VALIDATED,2022-11-16,2022-11-20
FND-000023,INV-00215,MEDIUM,POLICY_BREACH,"Entertainment expense of $156,723 submitted by EMP-76866 exceeds monthly policy allowance of $100,000.",0.455,VALIDATED,2021-12-24,2022-01-14
FND-000024,INV-00491,MEDIUM,POLICY_BREACH,"Entertainment expense of $167,378 submitted by EMP-72250 exceeds monthly policy allowance of $25,000.",0.638,VALIDATED,2022-01-26,2022-01-30
FND-000025,INV-00148,HIGH,POLICY_BREACH,"Claim EXP-103599 violates Policy POL-0010 section 4.2: Marketing expenditure capped at $25,000 per event.",0.621,FALSE_POSITIVE,2024-10-17,
FND-000026,INV-00375,MEDIUM,POLICY_BREACH,Employee submitted Training claim 23% above the authorised policy limit without prior exception approval.,0.515,OPEN,2021-06-12,
FND-000027,INV-00191,MEDIUM,POLICY_BREACH,"Entertainment expense of $476,428 submitted by EMP-28103 exceeds monthly policy allowance of $100,000.",0.556,OPEN,2022-08-15,2022-08-17
FND-000028,INV-00325,MEDIUM,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $105,847 was approved at L1 without L3 countersignature.",0.727,OPEN,2021-10-21,
FND-000029,INV-00287,CRITICAL,FRAUD_PATTERN,Transaction routed through 6 intermediate accounts before reaching final beneficiary. Unusual for CASH_OUT transaction type.,0.794,VALIDATED,2022-04-26,2022-05-21
FND-000030,INV-00214,LOW,POLICY_BREACH,"Expense claim of $477,112 for Training exceeds the policy maximum of $500,000. Overage: $8,965.",0.232,VALIDATED,2023-07-15,
FND-000031,INV-00216,MEDIUM,EXPIRED_COMPLIANCE,Compliance record CMP-107654 for vendor KryptonPath Ltd was in EXPIRED status at time of payment processing.,0.749,OPEN,2023-07-26,
FND-000032,INV-00265,LOW,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $186,921 was approved at L3 without L5 countersignature.",0.388,RESOLVED,2024-03-08,2024-03-11
FND-000033,INV-00254,LOW,EXPIRED_COMPLIANCE,"Payment of $308,313 released to YellowBridge Partners Ltd whose ISO 27001 compliance expired 198 days before payment date.",0.338,ESCALATED,2023-11-16,2023-11-18
FND-000034,INV-00024,MEDIUM,VENDOR_RISK,Payment issued to VND-VND-03395 rated LOW risk. Active contract CON-106539 in place. Enhanced due diligence not documented.,0.713,ESCALATED,2022-02-21,2022-02-25
FND-000035,INV-00078,MEDIUM,POLICY_BREACH,"Entertainment expense of $127,800 submitted by EMP-36466 exceeds monthly policy allowance of $5,000.",0.572,VALIDATED,2023-10-27,
FND-000036,INV-00199,MEDIUM,MISSING_RECEIPT,"Reimbursement of $412,697 for Equipment was approved despite no receipt documentation in the system.",0.694,VALIDATED,2024-11-16,2024-12-13
FND-000037,INV-00467,HIGH,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $423,075 was approved at L3 without L3 countersignature.",0.763,VALIDATED,2023-04-21,2023-05-02
FND-000038,INV-00055,MEDIUM,MISSING_RECEIPT,"Reimbursement of $125,411 for Marketing was approved despite no receipt documentation in the system.",0.473,ESCALATED,2021-08-23,2021-09-16
FND-000039,INV-00142,CRITICAL,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $82,376 was approved at L1 without L4 countersignature.",0.936,ESCALATED,2024-07-22,2024-08-13
FND-000040,INV-00096,CRITICAL,APPROVAL_LIMIT,"Approval granted by EMP-24159 who was not authorised to approve amounts above $25,000. Transaction value: $355,434.",0.969,VALIDATED,2022-10-02,2022-10-31
FND-000041,INV-00401,LOW,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0007 requires receipts for all claims above $75.,0.312,RESOLVED,2024-06-28,2024-06-29
FND-000042,INV-00030,MEDIUM,POLICY_BREACH,"Entertainment expense of $211,942 submitted by EMP-76112 exceeds monthly policy allowance of $100,000.",0.571,FALSE_POSITIVE,2024-06-18,2024-07-04
FND-000043,INV-00290,CRITICAL,POLICY_BREACH,"Claim EXP-111471 violates Policy POL-0020 section 4.2: Meals expenditure capped at $500,000 per event.",0.864,VALIDATED,2021-10-25,
FND-000044,INV-00217,MEDIUM,VENDOR_RISK,"Vendor GreenBridge Consulting LLC holds CRITICAL risk rating. 6 payments totalling $13,925 processed in the audit period.",0.403,ESCALATED,2023-12-26,
FND-000045,INV-00488,LOW,VENDOR_RISK,"BLACKLISTED vendor VND-VND-04905 received payment of $388,785 via contract CON-109669 that was not updated following blacklisting.",0.319,OPEN,2024-06-25,2024-06-29
FND-000046,INV-00231,MEDIUM,EXPIRED_COMPLIANCE,Procurement team processed payment without checking compliance status. Certificate had been expired for 514 days.,0.593,OPEN,2022-11-12,
FND-000047,INV-00065,MEDIUM,POLICY_BREACH,"Entertainment expense of $475,586 submitted by EMP-40987 exceeds monthly policy allowance of $500,000.",0.55,VALIDATED,2021-12-27,2022-01-01
FND-000048,INV-00012,LOW,POLICY_BREACH,"Entertainment expense of $142,695 submitted by EMP-77970 exceeds monthly policy allowance of $100,000.",0.397,VALIDATED,2023-03-15,2023-03-31
FND-000049,INV-00443,LOW,EXPIRED_COMPLIANCE,Procurement team processed payment without checking compliance status. Certificate had been expired for 28 days.,0.358,VALIDATED,2023-03-30,
FND-000050,INV-00028,MEDIUM,POLICY_BREACH,"Claim EXP-175796 violates Policy POL-0008 section 4.2: Office Supplies expenditure capped at $25,000 per event.",0.686,ESCALATED,2023-04-27,2023-05-17
FND-000051,INV-00445,MEDIUM,VENDOR_RISK,Payment issued to VND-VND-03125 rated LOW risk. Active contract CON-108592 in place. Enhanced due diligence not documented.,0.68,VALIDATED,2024-05-14,2024-06-07
FND-000052,INV-00498,LOW,FRAUD_PATTERN,Transaction routed through 6 intermediate accounts before reaching final beneficiary. Unusual for PAYMENT transaction type.,0.227,OPEN,2024-06-25,2024-06-26
FND-000053,INV-00491,MEDIUM,MISSING_RECEIPT,"Reimbursement of $330,415 for Entertainment was approved despite no receipt documentation in the system.",0.671,VALIDATED,2022-07-07,2022-08-01
FND-000054,INV-00124,MEDIUM,POLICY_BREACH,"Entertainment expense of $455,850 submitted by EMP-98719 exceeds monthly policy allowance of $100,000.",0.5,VALIDATED,2023-03-17,
FND-000055,INV-00166,MEDIUM,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $85,582 was approved at L2 without L5 countersignature.",0.557,VALIDATED,2024-04-26,2024-05-23
FND-000056,INV-00306,MEDIUM,EXPIRED_COMPLIANCE,Procurement team processed payment without checking compliance status. Certificate had been expired for 246 days.,0.513,OPEN,2024-08-06,
FND-000057,INV-00259,LOW,EXPIRED_COMPLIANCE,"Vendor VND-VND-03770 received payment of $222,144 on 2022-11-14. Compliance certificate expired on 2021-04-16 — 67 days prior.",0.553,RESOLVED,2021-06-04,2021-06-29
FND-000058,INV-00074,LOW,VENDOR_RISK,"Vendor FusionCore Analytics Inc holds CRITICAL risk rating. 2 payments totalling $17,468 processed in the audit period.",0.27,OPEN,2022-12-18,
FND-000059,INV-00368,LOW,VENDOR_RISK,"BLACKLISTED vendor VND-VND-02914 received payment of $66,972 via contract CON-107081 that was not updated following blacklisting.",0.514,VALIDATED,2023-10-12,2023-11-09
FND-000060,INV-00002,HIGH,APPROVAL_LIMIT,"Approval granted by EMP-81985 who was not authorised to approve amounts above $25,000. Transaction value: $349,444.",0.644,RESOLVED,2023-06-13,2023-06-30
FND-000061,INV-00105,LOW,VENDOR_RISK,"BLACKLISTED vendor VND-VND-04893 received payment of $469,760 via contract CON-103287 that was not updated following blacklisting.",0.455,VALIDATED,2023-11-08,2023-12-03
FND-000062,INV-00317,LOW,FRAUD_PATTERN,"Round-number transaction of $494,839 processed at 00:45 — outside standard business hours. Flagged by anomaly detection.",0.252,RESOLVED,2023-06-24,2023-07-19
FND-000063,INV-00397,MEDIUM,VENDOR_RISK,"Vendor YellowBridge Partners International holds CRITICAL risk rating. 2 payments totalling $16,374 processed in the audit period.",0.511,RESOLVED,2022-08-06,
FND-000064,INV-00146,MEDIUM,APPROVAL_LIMIT,"Payment of $329,733 approved at Level 2, which has a limit of $100,000. Transaction exceeded limit by $14,988.",0.441,VALIDATED,2023-08-10,2023-08-19
FND-000065,INV-00339,MEDIUM,VENDOR_RISK,Payment issued to VND-VND-00253 rated LOW risk. Active contract CON-100965 in place. Enhanced due diligence not documented.,0.572,VALIDATED,2023-02-24,
FND-000066,INV-00423,LOW,EXPIRED_COMPLIANCE,Procurement team processed payment without checking compliance status. Certificate had been expired for 411 days.,0.63,RESOLVED,2022-07-02,2022-07-16
FND-000067,INV-00187,MEDIUM,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $163,863 was approved at L2 without L4 countersignature.",0.613,RESOLVED,2022-12-22,
FND-000068,INV-00246,LOW,EXPIRED_COMPLIANCE,Compliance record CMP-106796 for vendor RapidCore Consulting International was in EXPIRED status at time of payment processing.,0.245,OPEN,2021-09-04,2021-09-30
FND-000069,INV-00139,MEDIUM,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $283,866 was approved at L3 without L5 countersignature.",0.656,RESOLVED,2024-03-08,2024-03-28
FND-000070,INV-00121,LOW,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0020 requires receipts for all claims above $100.,0.598,ESCALATED,2023-04-11,2023-05-08
FND-000071,INV-00035,MEDIUM,APPROVAL_LIMIT,"Payment of $337,631 approved at Level 1, which has a limit of $500,000. Transaction exceeded limit by $49,227.",0.612,OPEN,2023-10-19,
FND-000072,INV-00203,HIGH,POLICY_BREACH,"Claim EXP-156667 violates Policy POL-0012 section 4.2: Travel expenditure capped at $100,000 per event.",0.704,OPEN,2024-09-02,2024-09-10
FND-000073,INV-00184,MEDIUM,MISSING_RECEIPT,Expense claim EXP-168787 submitted for Meals without an attached supporting receipt.,0.611,RESOLVED,2021-12-11,2021-12-23
FND-000074,INV-00480,MEDIUM,MISSING_RECEIPT,Expense claim EXP-165583 submitted for Equipment without an attached supporting receipt.,0.592,VALIDATED,2021-06-03,
FND-000075,INV-00248,LOW,MISSING_RECEIPT,"Reimbursement of $294,232 for Training was approved despite no receipt documentation in the system.",0.618,RESOLVED,2021-12-07,2021-12-29
FND-000076,INV-00098,HIGH,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $39,388 was approved at L3 without L3 countersignature.",0.802,VALIDATED,2024-08-30,2024-09-13
FND-000077,INV-00366,LOW,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $161,846 was approved at L2 without L4 countersignature.",0.625,VALIDATED,2022-05-31,2022-06-08
FND-000078,INV-00322,HIGH,APPROVAL_LIMIT,Transaction processed with approval from an officer whose delegated authority was 20% below the required threshold.,0.827,RESOLVED,2022-09-24,
FND-000079,INV-00498,HIGH,APPROVAL_LIMIT,"Payment of $73,662 approved at Level 1, which has a limit of $25,000. Transaction exceeded limit by $40,075.",0.841,OPEN,2024-12-29,2025-01-09
FND-000080,INV-00357,HIGH,APPROVAL_LIMIT,"Escalation protocol was bypassed. Transaction valued at $109,362 was approved at L2 without L4 countersignature.",0.627,VALIDATED,2022-06-22,2022-06-28
FND-000081,INV-00173,LOW,MISSING_RECEIPT,"Reimbursement of $448,680 for Entertainment was approved despite no receipt documentation in the system.",0.327,VALIDATED,2023-08-06,
FND-000082,INV-00305,MEDIUM,VENDOR_RISK,Payment issued to VND-VND-03713 rated MEDIUM risk. Active contract CON-104310 in place. Enhanced due diligence not documented.,0.689,RESOLVED,2023-07-12,2023-07-30
FND-000083,INV-00475,MEDIUM,EXPIRED_COMPLIANCE,Procurement team processed payment without checking compliance status. Certificate had been expired for 95 days.,0.723,OPEN,2023-06-30,
FND-000084,INV-00110,MEDIUM,POLICY_BREACH,"Claim EXP-150016 violates Policy POL-0002 section 4.2: Travel expenditure capped at $5,000 per event.",0.492,RESOLVED,2022-11-11,2022-11-17
FND-000085,INV-00201,HIGH,MISSING_RECEIPT,Expense claim EXP-160078 submitted for Software without an attached supporting receipt.,0.813,OPEN,2022-09-12,2022-09-16
FND-000086,INV-00295,HIGH,FRAUD_PATTERN,"Split payment pattern detected: 2 transactions to same beneficiary totalling $7,319 — each below approval threshold of $25,000.",0.703,RESOLVED,2024-09-29,2024-10-25
FND-000087,INV-00420,LOW,VENDOR_RISK,"High-risk vendor GlobalNex Corp Inc has no compliance record on file. Payment of $457,430 released without compliance clearance.",0.213,ESCALATED,2024-10-14,2024-11-11
FND-000088,INV-00201,LOW,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0010 requires receipts for all claims above $75.,0.214,OPEN,2024-05-10,
FND-000089,INV-00026,CRITICAL,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0003 requires receipts for all claims above $100.,0.828,RESOLVED,2024-09-24,
FND-000090,INV-00128,MEDIUM,VENDOR_RISK,"Vendor HorizonEdge Inc holds CRITICAL risk rating. 8 payments totalling $9,385 processed in the audit period.",0.465,OPEN,2024-01-09,2024-01-26
FND-000091,INV-00221,HIGH,MISSING_RECEIPT,"Employee EMP-46160 submitted 7 claims totalling $3,157 without receipts in the review period.",0.667,VALIDATED,2024-07-09,2024-07-10
FND-000092,INV-00350,MEDIUM,VENDOR_RISK,Payment issued to VND-VND-01358 rated MEDIUM risk. Active contract CON-107779 in place. Enhanced due diligence not documented.,0.569,VALIDATED,2023-06-17,2023-07-06
FND-000093,INV-00468,MEDIUM,POLICY_BREACH,"Entertainment expense of $225,324 submitted by EMP-73919 exceeds monthly policy allowance of $500,000.",0.492,OPEN,2022-09-22,
FND-000094,INV-00265,LOW,APPROVAL_LIMIT,"Approval granted by EMP-30641 who was not authorised to approve amounts above $25,000. Transaction value: $408,753.",0.53,RESOLVED,2023-04-15,
FND-000095,INV-00345,MEDIUM,APPROVAL_LIMIT,"Approval granted by EMP-23373 who was not authorised to approve amounts above $100,000. Transaction value: $92,641.",0.415,FALSE_POSITIVE,2024-11-30,2024-12-12
FND-000096,INV-00157,MEDIUM,POLICY_BREACH,"Entertainment expense of $379,342 submitted by EMP-51017 exceeds monthly policy allowance of $500,000.",0.623,FALSE_POSITIVE,2024-11-12,2024-12-08
FND-000097,INV-00096,CRITICAL,FRAUD_PATTERN,"Round-number transaction of $92,118 processed at 03:33 — outside standard business hours. Flagged by anomaly detection.",0.949,VALIDATED,2022-12-31,
FND-000098,INV-00117,MEDIUM,FRAUD_PATTERN,Transaction routed through 6 intermediate accounts before reaching final beneficiary. Unusual for PAYMENT transaction type.,0.639,VALIDATED,2023-03-13,2023-03-27
FND-000099,INV-00203,HIGH,VENDOR_RISK,Payment issued to VND-VND-00424 rated LOW risk. Active contract CON-104974 in place. Enhanced due diligence not documented.,0.714,RESOLVED,2023-06-11,
FND-000100,INV-00470,MEDIUM,VENDOR_RISK,"High-risk vendor Gamma_Co Group has no compliance record on file. Payment of $473,134 released without compliance clearance.",0.558,ESCALATED,2022-05-02,2022-05-13
FND-000101,INV-00256,MEDIUM,POLICY_BREACH,"Entertainment expense of $207,262 submitted by EMP-34528 exceeds monthly policy allowance of $100,000.",0.492,OPEN,2023-09-19,2023-09-27
FND-000102,INV-00019,MEDIUM,VENDOR_RISK,"High-risk vendor RapidCore Consulting LLC has no compliance record on file. Payment of $176,109 released without compliance clearance.",0.482,RESOLVED,2023-07-18,2023-07-19
FND-000103,INV-00205,LOW,VENDOR_RISK,Payment issued to VND-VND-03234 rated MEDIUM risk. Active contract CON-105401 in place. Enhanced due diligence not documented.,0.508,RESOLVED,2022-05-18,2022-06-11
FND-000104,INV-00053,MEDIUM,VENDOR_RISK,"High-risk vendor Alpha_Inc Group has no compliance record on file. Payment of $474,239 released without compliance clearance.",0.52,VALIDATED,2021-10-11,2021-11-04
FND-000105,INV-00257,HIGH,POLICY_BREACH,Employee submitted Entertainment claim 42% above the authorised policy limit without prior exception approval.,0.787,OPEN,2021-12-23,
FND-000106,INV-00444,MEDIUM,MISSING_RECEIPT,"Employee EMP-72087 submitted 7 claims totalling $3,041 without receipts in the review period.",0.537,VALIDATED,2023-04-07,
FND-000107,INV-00334,MEDIUM,EXPIRED_COMPLIANCE,"Vendor VND-VND-02443 received payment of $342,715 on 2022-09-16. Compliance certificate expired on 2022-12-19 — 116 days prior.",0.659,VALIDATED,2021-07-14,2021-08-07
FND-000108,INV-00500,MEDIUM,VENDOR_RISK,"High-risk vendor BridgeTech Consulting Holdings has no compliance record on file. Payment of $33,742 released without compliance clearance.",0.538,RESOLVED,2023-02-24,
FND-000109,INV-00366,HIGH,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0014 requires receipts for all claims above $75.,0.791,RESOLVED,2022-05-11,
FND-000110,INV-00133,HIGH,VENDOR_RISK,"Vendor DeltaPath Logistics Ltd holds CRITICAL risk rating. 3 payments totalling $9,379 processed in the audit period.",0.718,OPEN,2022-01-24,2022-01-27
FND-000111,INV-00288,LOW,EXPIRED_COMPLIANCE,Compliance record CMP-104559 for vendor BlueStar Procurement was in EXPIRED status at time of payment processing.,0.405,OPEN,2023-06-20,2023-07-09
FND-000112,INV-00248,LOW,VENDOR_RISK,Payment issued to VND-VND-00873 rated LOW risk. Active contract CON-109597 in place. Enhanced due diligence not documented.,0.497,OPEN,2023-12-17,
FND-000113,INV-00344,LOW,MISSING_RECEIPT,"Reimbursement of $222,776 for Software was approved despite no receipt documentation in the system.",0.475,RESOLVED,2024-09-12,
FND-000114,INV-00021,CRITICAL,APPROVAL_LIMIT,"Payment of $287,133 approved at Level 3, which has a limit of $500,000. Transaction exceeded limit by $30,178.",0.825,OPEN,2022-03-23,
FND-000115,INV-00263,HIGH,EXPIRED_COMPLIANCE,Compliance record CMP-100495 for vendor TrueNorth Services was in EXPIRED status at time of payment processing.,0.828,RESOLVED,2021-07-14,2021-07-31
FND-000116,INV-00305,LOW,MISSING_RECEIPT,Expense claim EXP-182334 submitted for Meals without an attached supporting receipt.,0.243,VALIDATED,2022-02-12,
FND-000117,INV-00350,CRITICAL,VENDOR_RISK,"Vendor CoreVault Systems holds CRITICAL risk rating. 3 payments totalling $11,058 processed in the audit period.",0.8,ESCALATED,2021-12-02,2021-12-29
FND-000118,INV-00422,HIGH,MISSING_RECEIPT,"Employee EMP-73805 submitted 2 claims totalling $9,054 without receipts in the review period.",0.858,OPEN,2024-03-19,2024-04-05
FND-000119,INV-00222,HIGH,VENDOR_RISK,"BLACKLISTED vendor VND-VND-03247 received payment of $20,826 via contract CON-108947 that was not updated following blacklisting.",0.68,RESOLVED,2023-06-07,2023-07-02
FND-000120,INV-00078,CRITICAL,APPROVAL_LIMIT,"Approval granted by EMP-27523 who was not authorised to approve amounts above $25,000. Transaction value: $353,528.",0.847,FALSE_POSITIVE,2023-01-30,
FND-000121,INV-00200,MEDIUM,APPROVAL_LIMIT,"Approval granted by EMP-48895 who was not authorised to approve amounts above $5,000. Transaction value: $227,612.",0.629,VALIDATED,2023-06-22,
FND-000122,INV-00230,MEDIUM,APPROVAL_LIMIT,"Approval granted by EMP-86149 who was not authorised to approve amounts above $5,000. Transaction value: $436,079.",0.719,ESCALATED,2024-08-18,
FND-000123,INV-00024,LOW,APPROVAL_LIMIT,Transaction processed with approval from an officer whose delegated authority was 78% below the required threshold.,0.221,RESOLVED,2021-06-27,
FND-000124,INV-00418,LOW,POLICY_BREACH,"Expense claim of $273,524 for Travel exceeds the policy maximum of $100,000. Overage: $30,534.",0.202,RESOLVED,2024-04-24,2024-05-14
FND-000125,INV-00494,MEDIUM,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0006 requires receipts for all claims above $50.,0.697,OPEN,2024-05-27,2024-06-25
FND-000126,INV-00193,HIGH,MISSING_RECEIPT,Expense claim missing receipt. Policy POL-0014 requires receipts for all claims above $75.,0.856,VALIDATED,2024-11-21,2024-11-23
FND-000127,INV-00282,MEDIUM,MISSING_RECEIPT,"Reimbursement of $365,819 for Software was approved despite no receipt documentation in the system.",0.726,RESOLVED,2021-09-25,
FND-000128,INV-00399,MEDIUM,APPROVAL_LIMIT,"Approval granted by EMP-11558 who was not authorised to approve amounts above $5,000. Transaction value: $471,692.",0.697,RESOLVED,2021-11-14,
FND-000129,INV-00443,LOW,APPROVAL_LIMIT,"Approval granted by EMP-38918 who was not authorised to approve amounts above $25,000. Transaction value: $294,237.",0.647,VALIDATED,2024-02-16,
FND-000130,INV-00035,MEDIUM,VENDOR_RISK,Payment issued to VND-VND-04980 rated LOW risk. Active contract CON-102574 in place. Enhanced due diligence not documented.,0.497,FALSE_POSITIVE,2024-02-14,2024-03-13
FND-000131,INV-00315,MEDIUM,MISSING_RECEIPT,"Reimbursement of $131,249 for Accommodation was approved despite no receipt documentation in the system.",0.644,VALIDATED,2022-10-10,2022-10-26
FND-000132,INV-00256,CRITICAL,POLICY_BREACH,"Claim EXP-116111 violates Policy POL-0011 section 4.2: Entertainment expenditure capped at $500,000 per event.",0.984,VALIDATED,2021-06-26,2021-07-20
FND-000133,INV-00370,LOW,VENDOR_RISK,Payment issued to VND-VND-01802 rated LOW risk. Active contract CON-100425 in place. Enhanced due diligence not documented.,0.311,RESOLVED,2022-07-17,2022-08-06
FND-000134,INV-00169,MEDIUM,POLICY_BREACH,"Expense claim of $217,506 for Office Supplies exceeds the policy maximum of $5,000. Overage: $26,658.",0.418,VALIDATED,2023-05-03,2023-05-27
FND-000135,INV-00282,HIGH,MISSING_RECEIPT,"Employee EMP-49866 submitted 5 claims totalling $17,241 without receipts in the review period.",0.64,RESOLVED,2021-08-28,2021-09-21
FND-000136,INV-00456,MEDIUM,APPROVAL_LIMIT,"Approval granted by EMP-49912 who was not authorised to approve amounts above $5,000. Transaction value: $475,097.",0.695,RESOLVED,2023-06-08,
FND-000137,INV-00409,LOW,VENDOR_RISK,"High-risk vendor WavePath Inc LLC has no compliance record on file. Payment of $178,374 released without compliance clearance.",0.631,RESOLVED,2023-03-09,2023-03-27
FND-000138,INV-00097,MEDIUM,APPROVAL_LIMIT,"Approval granted by EMP-18935 who was not authorised to approve amounts above $5,000. Transaction value: $390,612.",0.687,RESOLVED,2024-04-10,2024-05-09
FND-000139,INV-00400,LOW,EXPIRED_COMPLIANCE,"Vendor VND-VND-04987 received payment of $10,791 on 2022-05-18. Compliance certificate expired on 2021-11-07 — 158 days prior.",0.409,VALIDATED,2024-04-10,2024-05-02
FND-000140,INV-00481,HIGH,POLICY_BREACH,Employee submitted Accommodation claim 54% above the authorised policy limit without prior exception approval.,0.737,RESOLVED,2021-09-24,2021-09-29
FND-000141,INV-00108,CRITICAL,EXPIRED_COMPLIANCE,Compliance record CMP-105651 for vendor ClearPath Logistics Ltd was in EXPIRED status at time of payment processing.,0.901,OPEN,2021-07-30,2021-08-17
FND-000142,INV-00442,MEDIUM,EXPIRED_COMPLIANCE,Compliance record CMP-109935 for vendor UnityCore Technologies Group was in EXPIRED status at time of payment processing.,0.535,VALIDATED,2022-10-17,2022-10-22
FND-000143,INV-00164,HIGH,MISSING_RECEIPT,Expense claim EXP-129878 submitted for Travel without an attached supporting receipt.,0.74,OPEN,2022-12-27,2023-01-17
FND-000144,INV-00228,MEDIUM,POLICY_BREACH,"Entertainment expense of $120,015 submitted by EMP-38978 exceeds monthly policy allowance of $25,000.",0.464,OPEN,2021-12-25,2021-12-30
FND-000145,INV-00424,LOW,EXPIRED_COMPLIANCE,Compliance record CMP-103011 for vendor RapidCore Consulting Holdings was in EXPIRED status at time of payment processing.,0.649,OPEN,2023-03-18,
