compliance_id,vendor_id,framework,status,assessment_date,expiry_date,assessed_by,findings_summary,document_ref
CMP-000046,VND-00228,PCI-DSS,COMPLIANT,2020-06-10,2020-12-15,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-QE0744
CMP-000047,VND-01332,PCI-DSS,COMPLIANT,2019-10-24,2020-06-04,Amy Dunn,No material findings. All controls assessed as effective.,COMP-DOC-SE9391
CMP-000048,VND-01811,ISO 27001,COMPLIANT,2022-04-07,2022-10-16,RSM Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-TA7174
CMP-000049,VND-01297,ISO 27001,COMPLIANT,2021-10-28,2023-04-12,Eric Dougall,No material findings. All controls assessed as effective.,COMP-DOC-ZH0345
CMP-000050,VND-02698,GDPR,COMPLIANT,2022-10-05,2023-12-01,Ketsia Liebig,No material findings. All controls assessed as effective.,COMP-DOC-VR8486
CMP-000051,VND-01647,GDPR,COMPLIANT,2021-12-17,2023-06-24,Deloitte Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-XR7374
CMP-000052,VND-02127,ISO 27001,COMPLIANT,2022-12-03,2024-08-16,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-AC9666
CMP-000053,VND-01793,PCI-DSS,COMPLIANT,2020-08-23,2021-02-22,Alex Sweetwater,No material findings. All controls assessed as effective.,COMP-DOC-UD2366
CMP-000054,VND-04029,GDPR,COMPLIANT,2019-05-03,2020-02-05,Debra Houlihan,No material findings. All controls assessed as effective.,COMP-DOC-JA4741
CMP-000055,VND-02609,GDPR,COMPLIANT,2022-08-31,2024-01-10,Deloitte Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-MB8180
CMP-000056,VND-00122,SOC 2 Type II,COMPLIANT,2021-09-28,2023-04-23,EY Compliance,No material findings. All controls assessed as effective.,COMP-DOC-OJ8938
CMP-000057,VND-04838,ISO 27001,COMPLIANT,2021-01-05,2022-09-22,Kelley Spirea,No material findings. All controls assessed as effective.,COMP-DOC-OS5289
CMP-000058,VND-01457,GDPR,COMPLIANT,2020-02-04,2021-08-16,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-PX0439
CMP-000059,VND-02244,ISO 27001,COMPLIANT,2019-03-01,2020-12-15,Kelley Spirea,No material findings. All controls assessed as effective.,COMP-DOC-IZ5160
CMP-000060,VND-03190,ISO 27001,COMPLIANT,2020-05-18,2020-11-15,Ketsia Liebig,No material findings. All controls assessed as effective.,COMP-DOC-XI9577
CMP-000061,VND-00048,ISO 27001,COMPLIANT,2022-04-27,2023-09-14,Brandon R. LeBlanc,No material findings. All controls assessed as effective.,COMP-DOC-JD6684
CMP-000062,VND-00754,ISO 9001,COMPLIANT,2022-02-01,2023-05-12,Webster Butler,No material findings. All controls assessed as effective.,COMP-DOC-ZE3163
CMP-000063,VND-04045,ISO 9001,COMPLIANT,2022-05-12,2023-05-29,Simon Roup,No material findings. All controls assessed as effective.,COMP-DOC-JQ8175
CMP-000064,VND-00191,NIST CSF,COMPLIANT,2020-12-03,2022-06-19,Peter Monroe,No material findings. All controls assessed as effective.,COMP-DOC-PF8135
CMP-000065,VND-00580,SOC 2 Type II,COMPLIANT,2022-02-22,2023-08-21,Deloitte Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-GO6429
CMP-000066,VND-02209,SOC 2 Type II,COMPLIANT,2023-10-28,2024-06-02,RSM Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-NW9303
CMP-000067,VND-00786,NIST CSF,PENDING,2019-12-14,2021-07-30,KPMG Assurance,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-IV5395
CMP-000068,VND-02729,GDPR,NON_COMPLIANT,2020-01-06,2021-05-29,Board of Directors,Incident response plan not tested within required 12-month window.,COMP-DOC-WM6088
CMP-000069,VND-02940,SOX,NON_COMPLIANT,2023-11-19,2025-04-03,Lynn Daneault,Critical control gap identified in access management procedures.,COMP-DOC-PS2987
CMP-000070,VND-00581,SOC 2 Type II,COMPLIANT,2019-09-15,2021-04-16,Brannon Miller,No material findings. All controls assessed as effective.,COMP-DOC-NZ0114
CMP-000071,VND-04796,ISO 9001,COMPLIANT,2020-06-09,2022-04-12,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-VR9747
CMP-000072,VND-02338,ISO 9001,COMPLIANT,2023-04-08,2024-11-28,Board of Directors,No material findings. All controls assessed as effective.,COMP-DOC-CR7377
CMP-000073,VND-00789,SOC 2 Type II,EXPIRED,2022-11-23,2023-07-10,Kelley Spirea,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-AD9909
CMP-000074,VND-04931,CIS Controls,COMPLIANT,2020-02-12,2021-09-05,Brandon R. LeBlanc,No material findings. All controls assessed as effective.,COMP-DOC-XY8194
CMP-000075,VND-04128,HIPAA,COMPLIANT,2022-09-22,2023-03-26,Elijiah Gray,No material findings. All controls assessed as effective.,COMP-DOC-CO6597
CMP-000076,VND-01864,CIS Controls,COMPLIANT,2019-06-22,2021-03-30,PwC Compliance Team,No material findings. All controls assessed as effective.,COMP-DOC-QM9610
CMP-000077,VND-04013,ISO 27001,EXPIRED,2020-08-05,2022-04-21,BDO Risk Services,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-NZ4057
CMP-000078,VND-04467,GDPR,COMPLIANT,2020-05-18,2020-12-02,John Smith,No material findings. All controls assessed as effective.,COMP-DOC-HV8910
CMP-000079,VND-00221,GDPR,COMPLIANT,2020-12-04,2022-09-11,Ketsia Liebig,No material findings. All controls assessed as effective.,COMP-DOC-UB0417
CMP-000080,VND-00746,GDPR,EXPIRED,2022-09-14,2023-07-13,David Stanley,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-ET9430
CMP-000081,VND-01674,GDPR,COMPLIANT,2024-03-08,2024-11-26,Kissy Sullivan,No material findings. All controls assessed as effective.,COMP-DOC-DQ2188
CMP-000082,VND-01213,SOC 2 Type II,COMPLIANT,2019-06-30,2020-12-17,KPMG Assurance,No material findings. All controls assessed as effective.,COMP-DOC-LG7169
CMP-000083,VND-01383,HIPAA,EXPIRED,2020-11-04,2021-02-21,Alex Sweetwater,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-LO6587
CMP-000084,VND-01165,SOC 2 Type II,NON_COMPLIANT,2021-06-12,2023-01-01,Kelley Spirea,Incident response plan not tested within required 12-month window.,COMP-DOC-HC6341
CMP-000085,VND-01067,CIS Controls,COMPLIANT,2024-04-09,2025-06-04,RSM Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-JT4857
CMP-000086,VND-00928,CIS Controls,COMPLIANT,2020-07-03,2021-10-17,EY Compliance,No material findings. All controls assessed as effective.,COMP-DOC-YU6712
CMP-000087,VND-04530,HIPAA,COMPLIANT,2023-05-19,2024-11-04,David Stanley,No material findings. All controls assessed as effective.,COMP-DOC-JJ7281
CMP-000088,VND-04228,SOX,COMPLIANT,2019-04-26,2020-09-24,Alex Sweetwater,No material findings. All controls assessed as effective.,COMP-DOC-WJ9127
CMP-000089,VND-04598,CIS Controls,PENDING,2020-10-06,2021-07-30,Internal Audit - Compliance,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-PK9885
CMP-000090,VND-01411,NIST CSF,COMPLIANT,2022-03-17,2023-09-22,Board of Directors,No material findings. All controls assessed as effective.,COMP-DOC-NZ4991
CMP-000091,VND-03532,SOC 2 Type II,PENDING,2021-04-25,2021-12-23,Michael Albert,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-US0841
CMP-000092,VND-00929,SOC 2 Type II,COMPLIANT,2019-07-01,2020-02-13,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-MD5855
CMP-000093,VND-04131,GDPR,COMPLIANT,2021-11-03,2023-06-15,David Stanley,No material findings. All controls assessed as effective.,COMP-DOC-DA3043
CMP-000094,VND-03436,PCI-DSS,COMPLIANT,2020-07-17,2022-05-31,Amy Dunn,No material findings. All controls assessed as effective.,COMP-DOC-XK3185
CMP-000095,VND-01829,ISO 27001,COMPLIANT,2022-01-20,2022-11-23,Webster Butler,No material findings. All controls assessed as effective.,COMP-DOC-HB6707
CMP-000096,VND-04826,PCI-DSS,COMPLIANT,2021-07-11,2022-09-12,Board of Directors,No material findings. All controls assessed as effective.,COMP-DOC-TG9448
CMP-000097,VND-01190,HIPAA,PENDING,2021-02-17,2022-03-20,Jennifer Zamora,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-DV4400
CMP-000098,VND-01508,PCI-DSS,COMPLIANT,2020-02-17,2020-08-26,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-AC4075
CMP-000099,VND-00255,ISO 9001,COMPLIANT,2021-01-15,2021-08-12,Board of Directors,No material findings. All controls assessed as effective.,COMP-DOC-UB2310
CMP-000100,VND-02809,ISO 27001,COMPLIANT,2021-07-22,2023-03-07,John Smith,No material findings. All controls assessed as effective.,COMP-DOC-FK4079
CMP-000101,VND-03273,ISO 27001,COMPLIANT,2019-03-05,2020-01-09,Jennifer Zamora,No material findings. All controls assessed as effective.,COMP-DOC-LU9682
CMP-000102,VND-04743,ISO 9001,COMPLIANT,2023-09-27,2025-08-27,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-JD8854
CMP-000103,VND-04840,PCI-DSS,COMPLIANT,2019-07-05,2020-07-24,PwC Compliance Team,No material findings. All controls assessed as effective.,COMP-DOC-TF3449
CMP-000104,VND-00357,PCI-DSS,COMPLIANT,2022-01-30,2022-12-22,EY Compliance,No material findings. All controls assessed as effective.,COMP-DOC-HZ9925
CMP-000105,VND-03721,HIPAA,COMPLIANT,2021-05-05,2022-02-23,Internal Audit - Compliance,No material findings. All controls assessed as effective.,COMP-DOC-AO9736
CMP-000106,VND-04026,ISO 9001,COMPLIANT,2021-01-10,2022-11-24,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-GD5475
CMP-000107,VND-01302,ISO 27001,COMPLIANT,2020-07-07,2021-04-28,Eric Dougall,No material findings. All controls assessed as effective.,COMP-DOC-DS8371
CMP-000108,VND-02419,SOC 2 Type II,COMPLIANT,2023-05-21,2025-03-12,Deloitte Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-WP5392
CMP-000109,VND-04046,NIST CSF,COMPLIANT,2020-08-04,2021-02-22,Ketsia Liebig,No material findings. All controls assessed as effective.,COMP-DOC-DH9067
CMP-000110,VND-01509,NIST CSF,COMPLIANT,2020-01-16,2021-03-23,Brannon Miller,No material findings. All controls assessed as effective.,COMP-DOC-AX8536
CMP-000111,VND-02616,GDPR,PENDING,2020-03-20,2020-10-20,Michael Albert,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-SB1743
CMP-000112,VND-04661,ISO 27001,COMPLIANT,2020-03-05,2021-11-06,Kelley Spirea,No material findings. All controls assessed as effective.,COMP-DOC-YY4025
CMP-000113,VND-04934,ISO 9001,COMPLIANT,2022-04-20,2023-01-31,Peter Monroe,No material findings. All controls assessed as effective.,COMP-DOC-MG0041
CMP-000114,VND-03548,NIST CSF,COMPLIANT,2020-06-08,2021-06-12,Webster Butler,No material findings. All controls assessed as effective.,COMP-DOC-WJ6677
CMP-000115,VND-02062,SOC 2 Type II,COMPLIANT,2019-08-12,2021-06-15,Webster Butler,No material findings. All controls assessed as effective.,COMP-DOC-JC7071
CMP-000116,VND-00298,ISO 27001,NON_COMPLIANT,2020-06-05,2022-02-18,Elijiah Gray,Third-party sub-processor agreements not in place as required.,COMP-DOC-BN9717
CMP-000117,VND-00771,SOC 2 Type II,COMPLIANT,2023-02-17,2023-09-10,David Stanley,No material findings. All controls assessed as effective.,COMP-DOC-LS5064
CMP-000118,VND-03530,ISO 27001,COMPLIANT,2021-06-16,2023-05-07,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-BS7299
CMP-000119,VND-02682,SOC 2 Type II,COMPLIANT,2021-11-29,2022-07-24,Debra Houlihan,No material findings. All controls assessed as effective.,COMP-DOC-OG4388
CMP-000120,VND-02881,ISO 9001,COMPLIANT,2020-08-19,2022-03-22,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-IK7676
CMP-000121,VND-01275,GDPR,COMPLIANT,2019-01-17,2020-06-11,Eric Dougall,No material findings. All controls assessed as effective.,COMP-DOC-TP7025
CMP-000122,VND-03630,SOC 2 Type II,COMPLIANT,2023-12-06,2025-08-09,Internal Audit - Compliance,No material findings. All controls assessed as effective.,COMP-DOC-EU1639
CMP-000123,VND-00679,ISO 9001,COMPLIANT,2022-08-11,2024-05-15,KPMG Assurance,No material findings. All controls assessed as effective.,COMP-DOC-EI8464
CMP-000124,VND-03923,SOX,PENDING,2020-06-15,2021-02-24,EY Compliance,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-YZ5604
CMP-000125,VND-02940,SOC 2 Type II,COMPLIANT,2022-06-28,2023-01-23,Elijiah Gray,No material findings. All controls assessed as effective.,COMP-DOC-RN7820
CMP-000126,VND-03599,SOC 2 Type II,COMPLIANT,2021-03-30,2022-07-20,RSM Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-SG6906
CMP-000127,VND-00229,HIPAA,COMPLIANT,2021-08-19,2022-04-03,KPMG Assurance,No material findings. All controls assessed as effective.,COMP-DOC-ZE5502
CMP-000128,VND-01295,CIS Controls,COMPLIANT,2024-03-28,2025-10-12,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-EO3409
CMP-000129,VND-04252,PCI-DSS,COMPLIANT,2024-03-15,2025-10-15,Kissy Sullivan,No material findings. All controls assessed as effective.,COMP-DOC-TB1220
CMP-000130,VND-00876,NIST CSF,EXPIRED,2022-11-13,2022-10-09,Kelley Spirea,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-US6766
CMP-000131,VND-01605,ISO 9001,COMPLIANT,2022-10-20,2024-10-07,Simon Roup,No material findings. All controls assessed as effective.,COMP-DOC-RK0532
CMP-000132,VND-02478,GDPR,COMPLIANT,2019-12-08,2020-09-02,Lynn Daneault,No material findings. All controls assessed as effective.,COMP-DOC-OV1694
CMP-000133,VND-01030,ISO 27001,COMPLIANT,2020-05-25,2021-12-21,Grant Thornton,No material findings. All controls assessed as effective.,COMP-DOC-ED3286
CMP-000134,VND-01800,SOC 2 Type II,COMPLIANT,2021-02-10,2022-07-15,Janet King,No material findings. All controls assessed as effective.,COMP-DOC-EP8058
CMP-000135,VND-04641,SOC 2 Type II,NON_COMPLIANT,2022-08-10,2023-08-07,Michael Albert,Insufficient audit trail documentation for transaction processing.,COMP-DOC-OL8057
CMP-000136,VND-02307,ISO 27001,COMPLIANT,2023-10-09,2025-03-01,Kelley Spirea,No material findings. All controls assessed as effective.,COMP-DOC-JW1367
CMP-000137,VND-04642,SOC 2 Type II,PENDING,2022-12-24,2023-11-04,EY Compliance,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-VX8645
CMP-000138,VND-02658,SOX,NON_COMPLIANT,2021-03-12,2023-02-05,Eric Dougall,Critical control gap identified in access management procedures.,COMP-DOC-HB2615
CMP-000139,VND-03713,ISO 27001,COMPLIANT,2022-02-04,2023-07-10,Janet King,No material findings. All controls assessed as effective.,COMP-DOC-FA7055
CMP-000140,VND-01795,ISO 9001,COMPLIANT,2021-12-24,2023-05-19,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-CJ5295
CMP-000141,VND-04487,ISO 27001,NON_COMPLIANT,2024-03-01,2025-08-02,Kissy Sullivan,Insufficient audit trail documentation for transaction processing.,COMP-DOC-SF6874
CMP-000142,VND-00958,SOX,NON_COMPLIANT,2023-08-04,2024-04-21,Debra Houlihan,Vendor failed data encryption requirements under framework section 7.2.,COMP-DOC-LS2359
CMP-000143,VND-00694,CIS Controls,COMPLIANT,2022-12-19,2024-04-03,David Stanley,No material findings. All controls assessed as effective.,COMP-DOC-UJ8962
CMP-000144,VND-00760,HIPAA,COMPLIANT,2021-01-19,2022-12-17,Deloitte Risk Advisory,No material findings. All controls assessed as effective.,COMP-DOC-PU6926
CMP-000145,VND-01205,GDPR,COMPLIANT,2021-10-30,2023-04-30,John Smith,No material findings. All controls assessed as effective.,COMP-DOC-PL6006
CMP-000146,VND-01375,ISO 9001,COMPLIANT,2022-02-14,2022-09-21,John Smith,No material findings. All controls assessed as effective.,COMP-DOC-FE5515
CMP-000147,VND-04990,CMMC,COMPLIANT,2022-08-03,2024-02-10,Janet King,No material findings. All controls assessed as effective.,COMP-DOC-LM9751
CMP-000148,VND-04179,GDPR,COMPLIANT,2024-03-23,2025-10-09,Webster Butler,No material findings. All controls assessed as effective.,COMP-DOC-VN7849
CMP-000149,VND-00639,SOX,COMPLIANT,2023-03-19,2024-05-20,KPMG Assurance,No material findings. All controls assessed as effective.,COMP-DOC-RW1273
CMP-000150,VND-03348,ISO 27001,COMPLIANT,2023-05-05,2025-04-29,Eric Dougall,No material findings. All controls assessed as effective.,COMP-DOC-QE4580
CMP-000151,VND-03750,ISO 27001,COMPLIANT,2020-07-17,2022-01-25,Internal Audit - Compliance,No material findings. All controls assessed as effective.,COMP-DOC-HM9762
CMP-000152,VND-03052,GDPR,PENDING,2019-10-25,2020-07-27,Webster Butler,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-RR4616
CMP-000153,VND-00857,GDPR,COMPLIANT,2021-01-26,2022-09-12,PwC Compliance Team,No material findings. All controls assessed as effective.,COMP-DOC-SZ6152
CMP-000154,VND-02141,SOX,EXPIRED,2019-02-27,2022-05-30,David Stanley,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-ZJ6532
CMP-000155,VND-03974,PCI-DSS,COMPLIANT,2020-10-28,2022-07-17,Amy Dunn,No material findings. All controls assessed as effective.,COMP-DOC-VR2470
CMP-000156,VND-02360,SOC 2 Type II,NON_COMPLIANT,2023-01-23,2024-01-03,Board of Directors,Vendor failed data encryption requirements under framework section 7.2.,COMP-DOC-RH8101
CMP-000157,VND-03740,ISO 27001,COMPLIANT,2019-01-09,2020-08-04,BDO Risk Services,No material findings. All controls assessed as effective.,COMP-DOC-EN1297
CMP-000158,VND-03326,PCI-DSS,COMPLIANT,2020-10-09,2022-03-17,Board of Directors,No material findings. All controls assessed as effective.,COMP-DOC-XJ8840
CMP-000159,VND-00655,ISO 27001,COMPLIANT,2021-12-26,2022-10-09,Amy Dunn,No material findings. All controls assessed as effective.,COMP-DOC-XY9437
CMP-000160,VND-04934,SOC 2 Type II,COMPLIANT,2023-08-09,2024-08-13,Alex Sweetwater,No material findings. All controls assessed as effective.,COMP-DOC-ZG4812
CMP-000161,VND-00747,SOX,EXPIRED,2024-04-27,2022-10-29,Eric Dougall,Compliance certificate expired. Re-assessment overdue.,COMP-DOC-AU1793
CMP-000162,VND-04287,HIPAA,PENDING,2019-06-26,2021-04-14,KPMG Assurance,Assessment in progress. Preliminary review completed; final sign-off pending.,COMP-DOC-GI0805
CMP-000163,VND-00041,ISO 9001,COMPLIANT,2023-01-30,2023-09-15,Jennifer Zamora,No material findings. All controls assessed as effective.,COMP-DOC-PG9905
CMP-000164,VND-03365,NIST CSF,COMPLIANT,2019-08-13,2020-09-27,Simon Roup,No material findings. All controls assessed as effective.,COMP-DOC-BM0814
CMP-000165,VND-02844,GDPR,COMPLIANT,2019-10-26,2020-10-20,Kissy Sullivan,No material findings. All controls assessed as effective.,COMP-DOC-CJ3405
CMP-000166,VND-00111,GDPR,COMPLIANT,2020-06-23,2022-04-15,Webster Butler,No material findings. All controls assessed as effective.,COMP-DOC-TO1056
CMP-000167,VND-03065,ISO 9001,COMPLIANT,2021-08-18,2023-04-03,Michael Albert,No material findings. All controls assessed as effective.,COMP-DOC-LC5869
CMP-000168,VND-00744,SOC 2 Type II,COMPLIANT,2022-11-10,2023-12-22,Simon Roup,No material findings. All controls assessed as effective.,COMP-DOC-GA2131
CMP-000169,VND-00714,GDPR,COMPLIANT,2019-08-07,2021-02-07,Brian Champaigne,No material findings. All controls assessed as effective.,COMP-DOC-BI6946
CMP-000170,VND-01151,GDPR,COMPLIANT,2019-06-15,2020-07-12,Grant Thornton,No material findings. All controls assessed as effective.,COMP-DOC-CB1246
CMP-000171,VND-01754,ISO 9001,COMPLIANT,2022-06-06,2024-03-08,Kelley Spirea,No material findings. All controls assessed as effective.,COMP-DOC-JT4281
