investigation_id,audit_question,investigation_type,status,created_date,completed_date,scope_period_start,scope_period_end,created_by_employee_id
INV-00012,Which expense claims were submitted without an attached receipt?,POLICY_BREACH_REVIEW,COMPLETED,2023-03-31,2023-09-15,2021-07-20,2023-03-26,EMP-CORP-00597
INV-00013,Which vendors have not completed mandatory compliance assessments?,EXPENSE_AUDIT,ON_HOLD,2022-10-16,,2021-09-11,2022-09-21,EMP-62103
INV-00014,Identify duplicate expense claims submitted by the same employee within 7 days.,FINANCIAL_INVESTIGATION,COMPLETED,2024-05-05,2024-08-06,2023-10-24,2024-04-18,EMP-4111
INV-00015,Are there transactions approved by employees whose authority limit was insufficient?,FINANCIAL_INVESTIGATION,COMPLETED,2023-06-15,2023-09-23,2022-06-22,2023-05-29,EMP-2356
INV-00016,Identify findings with confidence scores below 0.5 that have been marked VALIDATED.,COMPLIANCE_REVIEW,COMPLETED,2021-10-31,2022-03-25,2020-02-21,2021-10-07,EMP-49948
INV-00017,Identify duplicate expense claims submitted by the same employee within 7 days.,FRAUD_INVESTIGATION,IN_PROGRESS,2022-09-15,,2020-09-21,2022-08-27,EMP-44180
INV-00018,Identify all approvals made by terminated employees during the audit period.,COMPLIANCE_REVIEW,IN_PROGRESS,2023-12-14,,2022-11-10,2023-12-13,EMP-53447
INV-00019,Identify vendors operating without a valid compliance certificate.,CONTRACT_AUDIT,COMPLETED,2021-08-05,2021-08-24,2019-12-19,2021-07-09,EMP-59056
INV-00020,Identify all approvals made by terminated employees during the audit period.,FRAUD_INVESTIGATION,COMPLETED,2021-12-06,2022-05-31,2020-01-27,2021-11-19,EMP-7014
INV-00021,Identify vendors operating without a valid compliance certificate.,CONTRACT_AUDIT,IN_PROGRESS,2022-08-16,,2021-10-13,2022-08-08,EMP-26489
INV-00022,Are there transactions approved by employees whose authority limit was insufficient?,APPROVAL_LIMIT_REVIEW,COMPLETED,2022-07-18,2022-12-22,2021-12-05,2022-07-16,EMP-28173
INV-00023,Identify contracts with unusually high values relative to vendor risk tier.,APPROVAL_LIMIT_REVIEW,COMPLETED,2023-01-29,2023-07-09,2022-01-19,2023-01-07,EMP-56018
INV-00024,Identify contracts with unusually high values relative to vendor risk tier.,COMPLIANCE_REVIEW,ON_HOLD,2023-06-24,,2023-01-16,2023-05-30,EMP-35292
INV-00025,Identify duplicate expense claims submitted by the same employee within 7 days.,COMPLIANCE_REVIEW,COMPLETED,2021-10-27,2022-01-04,2020-09-21,2021-09-30,EMP-20811
INV-00026,Identify findings with confidence scores below 0.5 that have been marked VALIDATED.,FINANCIAL_INVESTIGATION,COMPLETED,2024-02-01,2024-03-21,2023-07-16,2024-01-30,EMP-15247
INV-00027,Are there expense claims approved by the submitting employee (self-approval)?,VENDOR_RISK_ASSESSMENT,COMPLETED,2023-04-15,2023-09-05,2021-08-19,2023-04-13,EMP-74466
INV-00028,Are there transactions approved by employees whose authority limit was insufficient?,APPROVAL_LIMIT_REVIEW,IN_PROGRESS,2024-05-24,,2023-08-13,2024-05-19,EMP-20460
INV-00029,Which expense claims exceed the policy limit for the stated category?,VENDOR_RISK_ASSESSMENT,COMPLETED,2022-07-31,2022-11-19,2021-10-24,2022-07-21,EMP-69793
INV-00030,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,EXPENSE_AUDIT,COMPLETED,2021-09-22,2021-11-01,2021-05-14,2021-09-18,EMP-58948
INV-00031,Which high-risk or critical-risk vendors have received payments in the past 12 months?,POLICY_BREACH_REVIEW,IN_PROGRESS,2024-04-24,,2022-07-29,2024-04-16,EMP-56050
INV-00032,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,APPROVAL_LIMIT_REVIEW,IN_PROGRESS,2022-04-03,,2021-10-08,2022-03-19,EMP-44179
INV-00033,Are there transactions to the same beneficiary from multiple employees?,APPROVAL_LIMIT_REVIEW,COMPLETED,2023-06-20,2023-10-11,2022-08-26,2023-06-17,EMP-53875
INV-00034,Are there active contracts with BLACKLISTED vendors?,COMPLIANCE_REVIEW,COMPLETED,2021-11-04,2022-02-03,2020-06-19,2021-10-24,EMP-58723
INV-00035,Which transactions exceeded the approval authority limits of the authorising officer?,APPROVAL_LIMIT_REVIEW,COMPLETED,2022-12-23,2023-04-13,2021-09-23,2022-11-26,EMP-55658
INV-00036,Which contracts have passed their end date but remain in ACTIVE status?,EXPENSE_AUDIT,COMPLETED,2022-09-27,2023-03-08,2021-04-07,2022-09-27,EMP-68400
INV-00037,Which escalated approvals were not subsequently ratified at the required level?,COMPLIANCE_REVIEW,ON_HOLD,2022-07-05,,2020-12-30,2022-06-09,EMP-56355
INV-00038,Which contracts have passed their end date but remain in ACTIVE status?,VENDOR_RISK_ASSESSMENT,COMPLETED,2023-12-31,2024-02-25,2023-06-12,2023-12-13,EMP-50842
INV-00039,Are there active contracts with BLACKLISTED vendors?,COMPLIANCE_REVIEW,IN_PROGRESS,2023-11-20,,2022-06-09,2023-11-03,EMP-29791
INV-00040,Which vendors received payments after their compliance certificate expired?,APPROVAL_LIMIT_REVIEW,COMPLETED,2023-07-13,2023-08-19,2022-09-11,2023-07-13,EMP-47614
INV-00041,Which contracts have passed their end date but remain in ACTIVE status?,VENDOR_RISK_ASSESSMENT,COMPLETED,2023-08-11,2024-01-08,2021-09-29,2023-08-07,EMP-31931
INV-00042,Which expense claims were submitted without an attached receipt?,POLICY_BREACH_REVIEW,COMPLETED,2021-10-25,2021-11-08,2021-03-12,2021-09-30,EMP-38057
INV-00043,Are there expense claims approved by the submitting employee (self-approval)?,CONTRACT_AUDIT,COMPLETED,2024-01-12,2024-04-12,2023-08-08,2024-01-07,EMP-73095
INV-00044,Which transactions exceeded the approval authority limits of the authorising officer?,CONTRACT_AUDIT,OPEN,2022-06-02,,2021-07-09,2022-05-07,EMP-65142
INV-00045,Which transactions exhibit patterns consistent with split payment fraud?,APPROVAL_LIMIT_REVIEW,COMPLETED,2023-12-16,2024-04-21,2022-11-16,2023-11-24,EMP-16134
INV-00046,Which audit findings are supported by multiple independent evidence sources?,APPROVAL_LIMIT_REVIEW,OPEN,2024-04-08,,2023-04-10,2024-03-20,EMP-36623
INV-00047,Are there expense claims approved by the submitting employee (self-approval)?,POLICY_BREACH_REVIEW,COMPLETED,2022-05-14,2022-06-18,2021-07-22,2022-04-17,EMP-58617
INV-00048,Which vendors are marked NON_COMPLIANT under ISO 27001 or SOC 2?,APPROVAL_LIMIT_REVIEW,COMPLETED,2022-08-24,2022-12-04,2020-10-11,2022-08-12,EMP-56520
INV-00049,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,APPROVAL_LIMIT_REVIEW,COMPLETED,2023-09-24,2023-12-28,2023-03-07,2023-09-22,EMP-63481
INV-00050,Which escalated approvals were not subsequently ratified at the required level?,FRAUD_INVESTIGATION,IN_PROGRESS,2022-09-16,,2021-12-18,2022-09-06,EMP-1093
INV-00051,Identify duplicate expense claims submitted by the same employee within 7 days.,FRAUD_INVESTIGATION,COMPLETED,2021-07-20,2021-09-09,2020-02-07,2021-07-14,EMP-22668
INV-00052,Identify vendors operating without a valid compliance certificate.,FRAUD_INVESTIGATION,OPEN,2023-11-13,,2022-02-19,2023-10-16,EMP-56797
INV-00053,Identify contracts with unusually high values relative to vendor risk tier.,POLICY_BREACH_REVIEW,COMPLETED,2024-04-17,2024-06-07,2023-11-06,2024-03-28,EMP-33562
INV-00054,Identify transactions with round-number amounts processed outside business hours.,FINANCIAL_INVESTIGATION,COMPLETED,2023-08-29,2024-01-05,2023-05-12,2023-08-21,EMP-43561
INV-00055,Identify findings with confidence scores below 0.5 that have been marked VALIDATED.,FINANCIAL_INVESTIGATION,COMPLETED,2021-09-13,2021-10-03,2020-12-28,2021-09-02,EMP-44322
INV-00056,Which escalated approvals were not subsequently ratified at the required level?,COMPLIANCE_REVIEW,COMPLETED,2021-06-02,2021-08-23,2019-11-06,2021-05-23,EMP-73835
INV-00057,Identify vendors operating without a valid compliance certificate.,APPROVAL_LIMIT_REVIEW,IN_PROGRESS,2024-05-03,,2023-10-17,2024-04-12,EMP-2651
INV-00058,Which vendors received payments after their compliance certificate expired?,CONTRACT_AUDIT,IN_PROGRESS,2022-05-29,,2021-08-08,2022-05-01,EMP-52763
INV-00059,Identify contracts with unusually high values relative to vendor risk tier.,FRAUD_INVESTIGATION,COMPLETED,2023-01-14,2023-02-17,2021-04-14,2023-01-05,EMP-47418
INV-00060,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,EXPENSE_AUDIT,COMPLETED,2022-11-29,2023-01-28,2020-11-29,2022-11-26,EMP-16080
INV-00061,Identify duplicate expense claims submitted by the same employee within 7 days.,CONTRACT_AUDIT,COMPLETED,2022-08-11,2023-01-17,2020-11-22,2022-07-22,EMP-36385
INV-00062,Which expense claims exceed the policy limit for the stated category?,EXPENSE_AUDIT,COMPLETED,2023-08-28,2023-12-07,2022-03-13,2023-08-18,EMP-65007
INV-00063,Identify contracts with unusually high values relative to vendor risk tier.,CONTRACT_AUDIT,COMPLETED,2024-04-06,2024-06-20,2023-06-28,2024-04-03,EMP-55908
INV-00064,Which expense claims were submitted without an attached receipt?,APPROVAL_LIMIT_REVIEW,COMPLETED,2023-03-20,2023-08-17,2021-06-21,2023-02-26,EMP-57400
INV-00065,Which transactions exceeded the approval authority limits of the authorising officer?,FINANCIAL_INVESTIGATION,COMPLETED,2023-11-12,2024-01-10,2022-01-21,2023-11-08,EMP-25402
INV-00066,Which expense claims exceed the policy limit for the stated category?,CONTRACT_AUDIT,COMPLETED,2022-12-05,2023-04-18,2021-12-26,2022-11-26,EMP-603
INV-00067,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,POLICY_BREACH_REVIEW,ON_HOLD,2023-01-24,,2022-02-14,2022-12-26,EMP-61355
INV-00068,Identify findings with confidence scores below 0.5 that have been marked VALIDATED.,FRAUD_INVESTIGATION,OPEN,2022-01-10,,2021-01-14,2021-12-27,EMP-64333
INV-00069,Which vendors have not completed mandatory compliance assessments?,EXPENSE_AUDIT,COMPLETED,2023-06-19,2023-07-26,2021-11-18,2023-05-26,EMP-14891
INV-00070,Identify findings with confidence scores below 0.5 that have been marked VALIDATED.,CONTRACT_AUDIT,COMPLETED,2024-03-13,2024-07-25,2023-10-22,2024-03-01,EMP-62161
INV-00071,Are there transactions to the same beneficiary from multiple employees?,FINANCIAL_INVESTIGATION,COMPLETED,2022-05-04,2022-08-31,2020-09-22,2022-04-23,EMP-2600
INV-00072,Identify duplicate expense claims submitted by the same employee within 7 days.,COMPLIANCE_REVIEW,IN_PROGRESS,2021-06-11,,2020-07-25,2021-06-10,EMP-61043
INV-00073,Which contracts have passed their end date but remain in ACTIVE status?,FINANCIAL_INVESTIGATION,COMPLETED,2022-07-30,2022-09-15,2021-09-29,2022-07-19,EMP-56019
INV-00074,Identify findings with confidence scores below 0.5 that have been marked VALIDATED.,POLICY_BREACH_REVIEW,IN_PROGRESS,2021-09-20,,2020-07-07,2021-09-02,EMP-12754
INV-00075,Which audit findings are supported by multiple independent evidence sources?,COMPLIANCE_REVIEW,COMPLETED,2023-04-26,2023-09-09,2021-09-30,2023-04-10,EMP-68577
INV-00076,Are there active contracts with BLACKLISTED vendors?,CONTRACT_AUDIT,COMPLETED,2023-01-21,2023-02-13,2021-11-30,2022-12-24,EMP-38186
INV-00077,Which transactions exceeded the approval authority limits of the authorising officer?,APPROVAL_LIMIT_REVIEW,ON_HOLD,2021-08-29,,2020-09-18,2021-08-01,EMP-8033
INV-00078,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,FRAUD_INVESTIGATION,COMPLETED,2024-03-08,2024-07-15,2022-06-28,2024-02-07,EMP-16837
INV-00079,Which vendors have not completed mandatory compliance assessments?,EXPENSE_AUDIT,COMPLETED,2023-10-18,2024-01-22,2023-06-20,2023-09-25,EMP-1973
INV-00080,Are there transactions approved by employees whose authority limit was insufficient?,FINANCIAL_INVESTIGATION,COMPLETED,2022-11-22,2022-12-30,2021-08-22,2022-11-17,EMP-24170
INV-00081,Are there expense claims approved by the submitting employee (self-approval)?,APPROVAL_LIMIT_REVIEW,IN_PROGRESS,2022-01-01,,2020-03-31,2021-12-07,EMP-68723
INV-00082,Identify all approvals made by terminated employees during the audit period.,EXPENSE_AUDIT,IN_PROGRESS,2024-01-04,,2023-04-08,2023-12-21,EMP-39039
INV-00083,Identify all approvals made by terminated employees during the audit period.,VENDOR_RISK_ASSESSMENT,IN_PROGRESS,2022-02-28,,2020-03-15,2022-02-13,EMP-42215
INV-00084,Which expense claims were submitted without an attached receipt?,POLICY_BREACH_REVIEW,COMPLETED,2024-05-05,2024-06-26,2022-05-15,2024-04-08,EMP-71853
INV-00085,Which vendors received payments after their compliance certificate expired?,COMPLIANCE_REVIEW,COMPLETED,2022-12-08,2023-05-03,2021-05-29,2022-12-04,EMP-15662
INV-00086,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,POLICY_BREACH_REVIEW,COMPLETED,2023-04-24,2023-06-29,2022-12-29,2023-04-21,EMP-50858
INV-00087,Which transactions exhibit patterns consistent with split payment fraud?,COMPLIANCE_REVIEW,COMPLETED,2022-01-27,2022-06-19,2020-12-14,2022-01-18,EMP-51157
INV-00088,Which escalated approvals were not subsequently ratified at the required level?,FINANCIAL_INVESTIGATION,COMPLETED,2024-05-22,2024-10-14,2022-07-15,2024-04-28,EMP-67443
INV-00089,Are compliance records current for all vendors with active contracts?,VENDOR_RISK_ASSESSMENT,IN_PROGRESS,2023-06-09,,2023-03-06,2023-05-14,EMP-73472
INV-00090,Identify transactions with round-number amounts processed outside business hours.,FRAUD_INVESTIGATION,COMPLETED,2024-05-01,2024-08-12,2022-08-20,2024-04-13,EMP-3024
INV-00091,Identify contracts with unusually high values relative to vendor risk tier.,VENDOR_RISK_ASSESSMENT,IN_PROGRESS,2023-10-30,,2022-05-16,2023-10-22,EMP-18324
INV-00092,Which escalated approvals were not subsequently ratified at the required level?,FINANCIAL_INVESTIGATION,COMPLETED,2023-07-15,2023-11-07,2022-12-06,2023-07-13,EMP-4190
INV-00093,Which audit findings are supported by multiple independent evidence sources?,FRAUD_INVESTIGATION,COMPLETED,2022-12-13,2023-01-07,2021-01-02,2022-11-25,EMP-46780
INV-00094,Identify transactions with round-number amounts processed outside business hours.,FINANCIAL_INVESTIGATION,IN_PROGRESS,2021-08-23,,2020-09-28,2021-08-06,EMP-21210
INV-00095,Are there transactions approved by employees whose authority limit was insufficient?,FINANCIAL_INVESTIGATION,COMPLETED,2021-10-20,2021-12-21,2021-02-03,2021-09-25,EMP-44807
INV-00096,Which escalated approvals were not subsequently ratified at the required level?,APPROVAL_LIMIT_REVIEW,COMPLETED,2022-12-02,2023-05-11,2021-11-22,2022-11-08,EMP-4947
INV-00097,Are there transactions approved by employees whose authority limit was insufficient?,APPROVAL_LIMIT_REVIEW,COMPLETED,2024-05-14,2024-08-24,2023-12-04,2024-05-03,EMP-6141
INV-00098,Identify contracts with unusually high values relative to vendor risk tier.,FRAUD_INVESTIGATION,COMPLETED,2023-06-28,2023-09-16,2022-11-15,2023-06-27,EMP-56149
INV-00099,Are there active contracts with BLACKLISTED vendors?,VENDOR_RISK_ASSESSMENT,COMPLETED,2021-07-16,2022-01-02,2021-01-14,2021-07-04,EMP-844
INV-00100,Which vendors are marked NON_COMPLIANT under ISO 27001 or SOC 2?,COMPLIANCE_REVIEW,COMPLETED,2023-04-10,2023-08-25,2021-09-27,2023-03-25,EMP-48145
INV-00101,Which expense claims were submitted without an attached receipt?,FINANCIAL_INVESTIGATION,COMPLETED,2021-06-09,2021-08-24,2020-12-09,2021-05-16,EMP-44750
INV-00102,Which vendors have not completed mandatory compliance assessments?,FINANCIAL_INVESTIGATION,COMPLETED,2022-01-11,2022-03-08,2020-06-25,2022-01-04,EMP-67808
INV-00103,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,APPROVAL_LIMIT_REVIEW,IN_PROGRESS,2022-04-27,,2021-01-23,2022-04-16,EMP-24043
INV-00104,Are there transactions approved by employees whose authority limit was insufficient?,FINANCIAL_INVESTIGATION,COMPLETED,2023-12-26,2024-05-16,2023-09-09,2023-11-27,EMP-54144
INV-00105,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,APPROVAL_LIMIT_REVIEW,IN_PROGRESS,2023-05-06,,2022-02-27,2023-05-04,EMP-28476
INV-00106,Are there active contracts with BLACKLISTED vendors?,FRAUD_INVESTIGATION,COMPLETED,2024-02-16,2024-03-18,2023-10-09,2024-01-22,EMP-3085
INV-00107,Are compliance records current for all vendors with active contracts?,FINANCIAL_INVESTIGATION,COMPLETED,2023-04-08,2023-07-19,2023-01-03,2023-03-21,EMP-42430
INV-00108,Which contracts have passed their end date but remain in ACTIVE status?,EXPENSE_AUDIT,IN_PROGRESS,2024-01-20,,2023-08-09,2023-12-23,EMP-47614
INV-00109,Which contracts have passed their end date but remain in ACTIVE status?,FINANCIAL_INVESTIGATION,COMPLETED,2022-10-15,2023-02-22,2022-06-20,2022-10-04,EMP-71211
INV-00110,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,CONTRACT_AUDIT,COMPLETED,2023-09-27,2024-02-07,2021-10-22,2023-09-15,EMP-124
INV-00111,Which expense claims exceed the policy limit for the stated category?,VENDOR_RISK_ASSESSMENT,COMPLETED,2022-08-18,2023-01-19,2021-06-11,2022-08-04,EMP-39854
INV-00112,Are there transactions approved by employees whose authority limit was insufficient?,COMPLIANCE_REVIEW,IN_PROGRESS,2022-06-08,,2021-01-07,2022-06-03,EMP-56591
INV-00113,Which audit findings are supported by multiple independent evidence sources?,CONTRACT_AUDIT,COMPLETED,2022-04-11,2022-07-04,2021-12-23,2022-03-21,EMP-43053
INV-00114,Which expense claims were submitted without an attached receipt?,VENDOR_RISK_ASSESSMENT,OPEN,2021-06-18,,2020-12-27,2021-06-17,EMP-22563
INV-00115,Identify duplicate expense claims submitted by the same employee within 7 days.,COMPLIANCE_REVIEW,COMPLETED,2024-01-29,2024-06-26,2023-08-04,2024-01-02,EMP-57375
INV-00116,Which transactions exhibit patterns consistent with split payment fraud?,FRAUD_INVESTIGATION,COMPLETED,2023-02-19,2023-04-30,2021-07-06,2023-02-06,EMP-43401
INV-00117,Which transactions exhibit patterns consistent with split payment fraud?,CONTRACT_AUDIT,COMPLETED,2023-12-16,2024-03-18,2023-01-24,2023-12-01,EMP-59062
INV-00118,Which vendors received payments after their compliance certificate expired?,VENDOR_RISK_ASSESSMENT,COMPLETED,2023-12-31,2024-02-01,2022-01-23,2023-12-31,EMP-32685
INV-00119,Identify findings with confidence scores below 0.5 that have been marked VALIDATED.,COMPLIANCE_REVIEW,COMPLETED,2024-04-12,2024-09-19,2022-11-21,2024-04-08,EMP-33974
INV-00120,Are there expense claims approved by the submitting employee (self-approval)?,VENDOR_RISK_ASSESSMENT,COMPLETED,2022-10-05,2023-01-25,2022-06-10,2022-09-09,EMP-51710
INV-00121,Identify vendors operating without a valid compliance certificate.,FINANCIAL_INVESTIGATION,COMPLETED,2021-07-09,2021-10-31,2020-10-25,2021-07-01,EMP-37691
INV-00122,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,APPROVAL_LIMIT_REVIEW,COMPLETED,2023-05-15,2023-07-20,2021-09-04,2023-04-17,EMP-29472
INV-00123,Which vendors are marked NON_COMPLIANT under ISO 27001 or SOC 2?,FINANCIAL_INVESTIGATION,COMPLETED,2021-09-15,2022-03-11,2020-03-09,2021-09-02,EMP-28859
INV-00124,Are there expense claims approved by the submitting employee (self-approval)?,EXPENSE_AUDIT,COMPLETED,2023-06-15,2023-10-14,2021-09-06,2023-05-27,EMP-70796
INV-00125,Are there expense claims approved by the submitting employee (self-approval)?,CONTRACT_AUDIT,IN_PROGRESS,2023-04-08,,2021-05-07,2023-03-15,EMP-2730
INV-00126,Which high-risk or critical-risk vendors have received payments in the past 12 months?,APPROVAL_LIMIT_REVIEW,COMPLETED,2023-05-10,2023-06-24,2021-06-16,2023-04-27,EMP-24972
INV-00127,Which transactions exceeded the approval authority limits of the authorising officer?,COMPLIANCE_REVIEW,COMPLETED,2022-09-17,2022-10-22,2022-03-17,2022-08-21,EMP-62554
INV-00128,Are there transactions approved by employees whose authority limit was insufficient?,EXPENSE_AUDIT,IN_PROGRESS,2023-07-27,,2021-11-07,2023-07-04,EMP-41725
INV-00129,Are there active contracts with BLACKLISTED vendors?,POLICY_BREACH_REVIEW,COMPLETED,2023-10-25,2024-03-12,2023-04-08,2023-10-08,EMP-20809
INV-00130,Are there expense claims approved by the submitting employee (self-approval)?,APPROVAL_LIMIT_REVIEW,COMPLETED,2022-10-24,2023-03-21,2022-03-06,2022-10-19,EMP-52999
INV-00131,Are there transactions to the same beneficiary from multiple employees?,APPROVAL_LIMIT_REVIEW,COMPLETED,2021-11-24,2022-01-14,2021-01-11,2021-11-08,EMP-29363
INV-00132,Which high-risk or critical-risk vendors have received payments in the past 12 months?,CONTRACT_AUDIT,COMPLETED,2023-05-06,2023-10-31,2022-11-06,2023-04-08,EMP-35734
INV-00133,Identify findings with confidence scores below 0.5 that have been marked VALIDATED.,COMPLIANCE_REVIEW,COMPLETED,2023-07-17,2023-11-14,2023-03-03,2023-07-07,EMP-15880
INV-00134,Which transactions exceeded the approval authority limits of the authorising officer?,FINANCIAL_INVESTIGATION,COMPLETED,2022-11-14,2022-11-30,2020-11-18,2022-10-24,EMP-49613
INV-00135,Identify duplicate expense claims submitted by the same employee within 7 days.,APPROVAL_LIMIT_REVIEW,COMPLETED,2023-09-21,2023-12-22,2023-04-29,2023-09-17,EMP-60134
INV-00136,Identify contracts with unusually high values relative to vendor risk tier.,EXPENSE_AUDIT,COMPLETED,2023-01-27,2023-05-05,2021-08-11,2023-01-21,EMP-66058
INV-00137,Which expense claims exceed the policy limit for the stated category?,APPROVAL_LIMIT_REVIEW,COMPLETED,2022-12-14,2023-06-02,2021-04-19,2022-11-27,EMP-61920
INV-00138,Identify duplicate expense claims submitted by the same employee within 7 days.,COMPLIANCE_REVIEW,COMPLETED,2024-05-24,2024-09-19,2023-07-15,2024-05-24,EMP-8881
INV-00139,Are there transactions to the same beneficiary from multiple employees?,FRAUD_INVESTIGATION,COMPLETED,2023-06-08,2023-07-10,2021-10-21,2023-05-10,EMP-635
INV-00140,Which vendors received payments after their compliance certificate expired?,APPROVAL_LIMIT_REVIEW,COMPLETED,2021-12-25,2022-03-14,2020-05-11,2021-12-24,EMP-69263
INV-00141,Which high-risk or critical-risk vendors have received payments in the past 12 months?,FINANCIAL_INVESTIGATION,COMPLETED,2021-06-22,2021-08-25,2020-01-07,2021-06-11,EMP-29479
INV-00142,Identify contracts with unusually high values relative to vendor risk tier.,POLICY_BREACH_REVIEW,COMPLETED,2022-05-21,2022-07-18,2020-07-19,2022-04-24,EMP-62701
INV-00143,Are there expense claims approved by the submitting employee (self-approval)?,CONTRACT_AUDIT,OPEN,2023-01-02,,2021-09-25,2022-12-15,EMP-18832
INV-00144,Which vendors received payments after their compliance certificate expired?,VENDOR_RISK_ASSESSMENT,COMPLETED,2023-09-22,2023-11-10,2022-10-10,2023-09-15,EMP-36244
INV-00145,Which vendors received payments after their compliance certificate expired?,CONTRACT_AUDIT,COMPLETED,2023-11-07,2024-01-24,2022-05-10,2023-11-05,EMP-70944
INV-00146,Which vendors have not completed mandatory compliance assessments?,FRAUD_INVESTIGATION,COMPLETED,2023-01-07,2023-02-09,2021-08-07,2023-01-07,EMP-12330
INV-00147,Which vendors have not completed mandatory compliance assessments?,EXPENSE_AUDIT,IN_PROGRESS,2024-03-24,,2022-07-23,2024-03-04,EMP-26530
INV-00148,Which expense claims exceed the policy limit for the stated category?,FINANCIAL_INVESTIGATION,ON_HOLD,2022-03-19,,2021-10-27,2022-03-14,EMP-62766
INV-00149,Which contracts have passed their end date but remain in ACTIVE status?,FRAUD_INVESTIGATION,COMPLETED,2021-11-09,2022-05-05,2021-05-24,2021-10-28,EMP-30806
INV-00150,Identify vendors operating without a valid compliance certificate.,EXPENSE_AUDIT,COMPLETED,2022-03-02,2022-07-09,2020-08-25,2022-02-28,EMP-10251
INV-00151,Identify transactions with round-number amounts processed outside business hours.,APPROVAL_LIMIT_REVIEW,COMPLETED,2023-01-19,2023-02-13,2022-03-19,2022-12-29,EMP-59172
INV-00152,Identify findings with confidence scores below 0.5 that have been marked VALIDATED.,COMPLIANCE_REVIEW,COMPLETED,2021-06-03,2021-11-19,2020-06-21,2021-05-15,EMP-61094
INV-00153,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,FRAUD_INVESTIGATION,ON_HOLD,2023-01-04,,2022-10-06,2022-12-13,EMP-60335
INV-00154,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,VENDOR_RISK_ASSESSMENT,COMPLETED,2023-04-05,2023-05-27,2021-12-29,2023-03-13,EMP-44362
INV-00155,Which contracts have passed their end date but remain in ACTIVE status?,VENDOR_RISK_ASSESSMENT,COMPLETED,2024-06-01,2024-08-09,2022-06-21,2024-05-15,EMP-40226
INV-00156,Identify transactions with round-number amounts processed outside business hours.,VENDOR_RISK_ASSESSMENT,COMPLETED,2021-06-27,2021-12-14,2020-05-22,2021-06-09,EMP-30119
INV-00157,Which escalated approvals were not subsequently ratified at the required level?,APPROVAL_LIMIT_REVIEW,IN_PROGRESS,2024-01-08,,2022-12-04,2023-12-16,EMP-57909
INV-00158,Which transactions exhibit patterns consistent with split payment fraud?,FINANCIAL_INVESTIGATION,COMPLETED,2023-03-30,2023-05-21,2022-10-31,2023-03-27,EMP-28712
INV-00159,Are there contracts with vendors whose risk rating is HIGH or CRITICAL?,VENDOR_RISK_ASSESSMENT,COMPLETED,2021-11-24,2022-01-20,2020-07-09,2021-11-16,EMP-1006
